item_id,meeting_id,item_number,item_type,application_id,applicant_name,project_title,district,address_raw,summary,outcome,motion_text,vote_result,created_at,project_matches,staff_code,needs_review,extraction_confidence,category_id,item_order,item_title,item_text,action_taken,action_type,vote_detected,extraction_notes
1407,185,19,Contract Approval,,,County Contribution for Estero Parkway Sidewalk and Repaving,,Estero Parkway,"County Contribution for Estero Parkway Sidewalk and Repaving. Action: No formal action recorded. County Contribution for Estero Parkway Sidewalk and Repaving Village Manager Sarkozy stated the amount requested was $2.196M. Public Comment: Doug Saxton, The Reserve Bill Williams, Cascades at Estero ( 6) Agreement for Election Services between the Village of Estero and Sharon Harrington, the Supervisor of Elections of Lee County, Florida (agenda item moved from 5 ( c) Village Attorney Saunders stated that, due to elections this week, the Supervisor of Elections did not have an opportunity to respond; however, he believed that the agreement would be available for the next Council meeting. Discussion followed related to early voting. Questions or Comments by: Mayor Batos, Vice Mayor Levitan, and Councilmember Ribble. Village Council Meeting Final Action Agenda/Minutes - August 31, 2016 Page 7 of9","No formal action recorded. County Contribution for Estero Parkway Sidewalk and Repaving Village Manager Sarkozy stated the amount requested was $2.196M. Public Comment: Doug Saxton, The Reserve Bill Williams, Cascades at Estero ( 6) Agreement for Election Services between the Village of Estero and Sharon Harrington, the Supervisor of Elections of Lee County, Florida (agenda item moved from 5 ( c) Village Attorney Saunders stated that, due to elections this week, the Supervisor of Elections did not have an opportunity to respond; however, he believed that the agreement would be available for the next Council meeting. Discussion followed related to early voting. Questions or Comments by: Mayor Batos, Vice Mayor Levitan, and Councilmember Ribble. Village Council Meeting Final Action Agenda/Minutes - August 31, 2016 Page 7 of9",,,,Estero Parkway Improvements,,False,0.95,6,19,County Contribution for Estero Parkway Sidewalk and Repaving,"County Contribution for Estero Parkway Sidewalk and Repaving. Action: No formal action recorded. County Contribution for Estero Parkway Sidewalk and Repaving Village Manager Sarkozy stated the amount requested was $2.196M. Public Comment: Doug Saxton, The Reserve Bill Williams, Cascades at Estero ( 6) Agreement for Election Services between the Village of Estero and Sharon Harrington, the Supervisor of Elections of Lee County, Florida (agenda item moved from 5 ( c) Village Attorney Saunders stated that, due to elections this week, the Supervisor of Elections did not have an opportunity to respond; however, he believed that the agreement would be available for the next Council meeting. Discussion followed related to early voting. Questions or Comments by: Mayor Batos, Vice Mayor Levitan, and Councilmember Ribble. Village Council Meeting Final Action Agenda/Minutes - August 31, 2016 Page 7 of9","No formal action recorded. County Contribution for Estero Parkway Sidewalk and Repaving Village Manager Sarkozy stated the amount requested was $2.196M. Public Comment: Doug Saxton, The Reserve Bill Williams, Cascades at Estero ( 6) Agreement for Election Services between the Village of Estero and Sharon Harrington, the Supervisor of Elections of Lee County, Florida (agenda item moved from 5 ( c) Village Attorney Saunders stated that, due to elections this week, the Supervisor of Elections did not have an opportunity to respond; however, he believed that the agreement would be available for the next Council meeting. Discussion followed related to early voting. Questions or Comments by: Mayor Batos, Vice Mayor Levitan, and Councilmember Ribble. Village Council Meeting Final Action Agenda/Minutes - August 31, 2016 Page 7 of9",Contract Approval,False,
1408,185,20,Contract Approval,,,"College of Life Property Village Attorney Saunders and Neale Montgomery, Pavese Law Firm, provided an explanation regarding an environmental easement held by the Nature Conservancy on the College of Life property; the conservancy as interested in working ",,,"College of Life Property Village Attorney Saunders and Neale Montgomery, Pavese Law Firm, provided an explanation regarding an environmental easement held by the Nature Conservancy on the College of Life property; the conservancy as interested in working . Action: No formal action recorded. College of Life Property Village Attorney Saunders and Neale Montgomery, Pavese Law Firm, provided an explanation regarding an environmental easement held by the Nature Conservancy on the College of Life property; the conservancy as interested in working out an agreement to transfer to the Village of Estero or to the Lee County Conservation 2020 Program. Questions or Comments by: Vice Mayor Levitan and Councilmembers Boesch and Errington. Discussion ensued and Village Manager Sarkozy stated that further information would be gathered and the issue would be brought back to Council","No formal action recorded. College of Life Property Village Attorney Saunders and Neale Montgomery, Pavese Law Firm, provided an explanation regarding an environmental easement held by the Nature Conservancy on the College of Life property; the conservancy as interested in working out an agreement to transfer to the Village of Estero or to the Lee County Conservation 2020 Program. Questions or Comments by: Vice Mayor Levitan and Councilmembers Boesch and Errington. Discussion ensued and Village Manager Sarkozy stated that further information would be gathered and the issue would be brought back to Council",,,,,,True,0.5,5,20,"College of Life Property Village Attorney Saunders and Neale Montgomery, Pavese Law Firm, provided an explanation regarding an environmental easement held by the Nature Conservancy on the College of Life property; the conservancy as interested in working ","College of Life Property Village Attorney Saunders and Neale Montgomery, Pavese Law Firm, provided an explanation regarding an environmental easement held by the Nature Conservancy on the College of Life property; the conservancy as interested in working . Action: No formal action recorded. College of Life Property Village Attorney Saunders and Neale Montgomery, Pavese Law Firm, provided an explanation regarding an environmental easement held by the Nature Conservancy on the College of Life property; the conservancy as interested in working out an agreement to transfer to the Village of Estero or to the Lee County Conservation 2020 Program. Questions or Comments by: Vice Mayor Levitan and Councilmembers Boesch and Errington. Discussion ensued and Village Manager Sarkozy stated that further information would be gathered and the issue would be brought back to Council","No formal action recorded. College of Life Property Village Attorney Saunders and Neale Montgomery, Pavese Law Firm, provided an explanation regarding an environmental easement held by the Nature Conservancy on the College of Life property; the conservancy as interested in working out an agreement to transfer to the Village of Estero or to the Lee County Conservation 2020 Program. Questions or Comments by: Vice Mayor Levitan and Councilmembers Boesch and Errington. Discussion ensued and Village Manager Sarkozy stated that further information would be gathered and the issue would be brought back to Council",Contract Approval,False,
1409,186,1,Unknown,,,"Approval of July 10, 2015 Workshop Minutes (B) = Approval of July 15, 2015 Regular Meeting Minutes",,,"Approval of July 10, 2015 Workshop Minutes (B) = Approval of July 15, 2015 Regular Meeting Minutes. Action: No formal action recorded. Approval of July 10, 2015 Workshop Minutes (B) = Approval of July 15, 2015 Regular Meeting Minutes","No formal action recorded. Approval of July 10, 2015 Workshop Minutes (B) = Approval of July 15, 2015 Regular Meeting Minutes",,,,,DR/GR,True,0.5,8,1,"Approval of July 10, 2015 Workshop Minutes (B) = Approval of July 15, 2015 Regular Meeting Minutes","Approval of July 10, 2015 Workshop Minutes (B) = Approval of July 15, 2015 Regular Meeting Minutes. Action: No formal action recorded. Approval of July 10, 2015 Workshop Minutes (B) = Approval of July 15, 2015 Regular Meeting Minutes","No formal action recorded. Approval of July 10, 2015 Workshop Minutes (B) = Approval of July 15, 2015 Regular Meeting Minutes",Unknown,False,
1410,186,2,Consent Agenda,,,"Approval of July 22, 2015 Workshop Minutes",,,"Approval of July 22, 2015 Workshop Minutes. Action: Councilmember Ribble moved approval of the Consent Agenda, seconded by Councilmember Brown, called and carried","Councilmember Ribble moved approval of the Consent Agenda, seconded by Councilmember Brown, called and carried",,Detected,,,DR/GR,True,0.5,8,2,"Approval of July 22, 2015 Workshop Minutes","Approval of July 22, 2015 Workshop Minutes. Action: Councilmember Ribble moved approval of the Consent Agenda, seconded by Councilmember Brown, called and carried","Councilmember Ribble moved approval of the Consent Agenda, seconded by Councilmember Brown, called and carried",Consent Agenda,True,
1411,186,3,Resolution,Resolution No. 2015-53,,"Public Hearing: Resolution No. 2015-53 Adopting the Tentative Levying of Ad Valorem Taxes for the Village of Estero, Lee County, Florida, for Fiscal Year 2015- 2016; Establishing the Date, Time and Place for a Final Hearing to Adopt the Final Ad Valorem T",,,"Public Hearing: Resolution No. 2015-53 Adopting the Tentative Levying of Ad Valorem Taxes for the Village of Estero, Lee County, Florida, for Fiscal Year 2015- 2016; Establishing the Date, Time and Place for a Final Hearing to Adopt the Final Ad Valorem T. Action: Councilmember Wilson moved to adopt Resolution No. 2015-53, seconded by Councilmember Errington, called and carried","Councilmember Wilson moved to adopt Resolution No. 2015-53, seconded by Councilmember Errington, called and carried",,Detected,,,DR/GR,True,0.5,7,3,"Public Hearing: Resolution No. 2015-53 Adopting the Tentative Levying of Ad Valorem Taxes for the Village of Estero, Lee County, Florida, for Fiscal Year 2015- 2016; Establishing the Date, Time and Place for a Final Hearing to Adopt the Final Ad Valorem T","Public Hearing: Resolution No. 2015-53 Adopting the Tentative Levying of Ad Valorem Taxes for the Village of Estero, Lee County, Florida, for Fiscal Year 2015- 2016; Establishing the Date, Time and Place for a Final Hearing to Adopt the Final Ad Valorem T. Action: Councilmember Wilson moved to adopt Resolution No. 2015-53, seconded by Councilmember Errington, called and carried","Councilmember Wilson moved to adopt Resolution No. 2015-53, seconded by Councilmember Errington, called and carried",Resolution,True,
1412,186,4,Public Comment,Resolution No. 2015-54,,Public Hearing: Resolution No. 2015-54 Adopting the Tentative Budget for Fiscal Year 2015-2016;.and Providing an Effective Date Resolution No. 2015-54 was read in entirety by Village Manager Lombardi. The public hearing was opened at 6:40 p.m. Mayor Batos,,,"Public Hearing: Resolution No. 2015-54 Adopting the Tentative Budget for Fiscal Year 2015-2016;.and Providing an Effective Date Resolution No. 2015-54 was read in entirety by Village Manager Lombardi. The public hearing was opened at 6:40 p.m. Mayor Batos. Action: Councilmember Errington moved to add an additional expenditure of $17,850 to hire a deputy from the Lee County Sheriffs Office to be in attendance at meetings for Council, regular and workshops, Planning and Zoning Board, and Design Review Board; seconded by Councilmember Brown. Mayor Batos called for public comment. Public Comments: Roy Hyman, Shadow Wood resident, addressed concern regarding spending funds for this purpose since Estero was a safe community. A roll call vote on the motion followed resulting in Councilmembers Ribble, Brown, Errington, Wilson, Vice Mayor Levitan, and Mayor Batos voting aye, Councilmember Boesch voting nay. The motion carried","Councilmember Errington moved to add an additional expenditure of $17,850 to hire a deputy from the Lee County Sheriffs Office to be in attendance at meetings for Council, regular and workshops, Planning and Zoning Board, and Design Review Board; seconded by Councilmember Brown. Mayor Batos called for public comment. Public Comments: Roy Hyman, Shadow Wood resident, addressed concern regarding spending funds for this purpose since Estero was a safe community. A roll call vote on the motion followed resulting in Councilmembers Ribble, Brown, Errington, Wilson, Vice Mayor Levitan, and Mayor Batos voting aye, Councilmember Boesch voting nay. The motion carried",,Detected,,Budget / Capital Improvement,DR/GR,True,0.65,2,4,Public Hearing: Resolution No. 2015-54 Adopting the Tentative Budget for Fiscal Year 2015-2016;.and Providing an Effective Date Resolution No. 2015-54 was read in entirety by Village Manager Lombardi. The public hearing was opened at 6:40 p.m. Mayor Batos,"Public Hearing: Resolution No. 2015-54 Adopting the Tentative Budget for Fiscal Year 2015-2016;.and Providing an Effective Date Resolution No. 2015-54 was read in entirety by Village Manager Lombardi. The public hearing was opened at 6:40 p.m. Mayor Batos. Action: Councilmember Errington moved to add an additional expenditure of $17,850 to hire a deputy from the Lee County Sheriffs Office to be in attendance at meetings for Council, regular and workshops, Planning and Zoning Board, and Design Review Board; seconded by Councilmember Brown. Mayor Batos called for public comment. Public Comments: Roy Hyman, Shadow Wood resident, addressed concern regarding spending funds for this purpose since Estero was a safe community. A roll call vote on the motion followed resulting in Councilmembers Ribble, Brown, Errington, Wilson, Vice Mayor Levitan, and Mayor Batos voting aye, Councilmember Boesch voting nay. The motion carried","Councilmember Errington moved to add an additional expenditure of $17,850 to hire a deputy from the Lee County Sheriffs Office to be in attendance at meetings for Council, regular and workshops, Planning and Zoning Board, and Design Review Board; seconded by Councilmember Brown. Mayor Batos called for public comment. Public Comments: Roy Hyman, Shadow Wood resident, addressed concern regarding spending funds for this purpose since Estero was a safe community. A roll call vote on the motion followed resulting in Councilmembers Ribble, Brown, Errington, Wilson, Vice Mayor Levitan, and Mayor Batos voting aye, Councilmember Boesch voting nay. The motion carried",Public Comment,True,
1413,186,5,Presentation,,Interview Schedule Mr,Colin Baenziger & Associates - Presentation of Village Manager Finalist List to Council with Interview Schedule Mr. Baenziger provided background information on the Village Manager recruitment process. He stated that there were 80 applicants; a list of 6 ,,,"Colin Baenziger & Associates - Presentation of Village Manager Finalist List to Council with Interview Schedule Mr. Baenziger provided background information on the Village Manager recruitment process. He stated that there were 80 applicants; a list of 6 . Action: No formal action recorded. Colin Baenziger & Associates - Presentation of Village Manager Finalist List to Council with Interview Schedule Mr. Baenziger provided background information on the Village Manager recruitment process. He stated that there were 80 applicants; a list of 6 finalists were presented to the Council. He spoke to the concern raised that a number of the candidates had annual salaries over $200,000 and whether the Village would have to pay that amount. He indicated the Village would not have to pay that amount, as the advertised salary range was $135,000 to $175,000; the candidates were aware of the salary range and would not be looking for more than the top of the range. Mr. Baenziger added that the average annual City Manager salary for Florida cities between 20,000 and 30,000 population was approximately $150,000. Discussion ensued regarding interview questions, lack of Florida experience for ","No formal action recorded. Colin Baenziger & Associates - Presentation of Village Manager Finalist List to Council with Interview Schedule Mr. Baenziger provided background information on the Village Manager recruitment process. He stated that there were 80 applicants; a list of 6 finalists were presented to the Council. He spoke to the concern raised that a number of the candidates had annual salaries over $200,000 and whether the Village would have to pay that amount. He indicated the Village would not have to pay that amount, as the advertised salary range was $135,000 to $175,000; the candidates were aware of the salary range and would not be looking for more than the top of the range. Mr. Baenziger added that the average annual City Manager salary for Florida cities between 20,000 and 30,000 population was approximately $150,000. Discussion ensued regarding interview questions, lack of Florida experience for ",,,,,DR/GR,True,0.5,8,5,Colin Baenziger & Associates - Presentation of Village Manager Finalist List to Council with Interview Schedule Mr. Baenziger provided background information on the Village Manager recruitment process. He stated that there were 80 applicants; a list of 6 ,"Colin Baenziger & Associates - Presentation of Village Manager Finalist List to Council with Interview Schedule Mr. Baenziger provided background information on the Village Manager recruitment process. He stated that there were 80 applicants; a list of 6 . Action: No formal action recorded. Colin Baenziger & Associates - Presentation of Village Manager Finalist List to Council with Interview Schedule Mr. Baenziger provided background information on the Village Manager recruitment process. He stated that there were 80 applicants; a list of 6 finalists were presented to the Council. He spoke to the concern raised that a number of the candidates had annual salaries over $200,000 and whether the Village would have to pay that amount. He indicated the Village would not have to pay that amount, as the advertised salary range was $135,000 to $175,000; the candidates were aware of the salary range and would not be looking for more than the top of the range. Mr. Baenziger added that the average annual City Manager salary for Florida cities between 20,000 and 30,000 population was approximately $150,000. Discussion ensued regarding interview questions, lack of Florida experience for ","No formal action recorded. Colin Baenziger & Associates - Presentation of Village Manager Finalist List to Council with Interview Schedule Mr. Baenziger provided background information on the Village Manager recruitment process. He stated that there were 80 applicants; a list of 6 finalists were presented to the Council. He spoke to the concern raised that a number of the candidates had annual salaries over $200,000 and whether the Village would have to pay that amount. He indicated the Village would not have to pay that amount, as the advertised salary range was $135,000 to $175,000; the candidates were aware of the salary range and would not be looking for more than the top of the range. Mr. Baenziger added that the average annual City Manager salary for Florida cities between 20,000 and 30,000 population was approximately $150,000. Discussion ensued regarding interview questions, lack of Florida experience for ",Presentation,False,
1414,186,6,Ordinance,Ordinance No. 2015-09,,"First Reading and Public Hearing: Ordinance No. 2015-09 Granting to Florida Power & Light Company, Its Successors and Assigns, a Non-Exclusive Electric Franchise, Imposing Provisions and Conditions Relating Thereto, Providing for Monthly Payments to the V",,,"First Reading and Public Hearing: Ordinance No. 2015-09 Granting to Florida Power & Light Company, Its Successors and Assigns, a Non-Exclusive Electric Franchise, Imposing Provisions and Conditions Relating Thereto, Providing for Monthly Payments to the V. Action: Councilmember Wilson moved to approve the first reading of Ordinance 2015-09, seconded by Councilmember Errington, called and carried","Councilmember Wilson moved to approve the first reading of Ordinance 2015-09, seconded by Councilmember Errington, called and carried",,Detected,,,DR/GR,True,0.5,7,6,"First Reading and Public Hearing: Ordinance No. 2015-09 Granting to Florida Power & Light Company, Its Successors and Assigns, a Non-Exclusive Electric Franchise, Imposing Provisions and Conditions Relating Thereto, Providing for Monthly Payments to the V","First Reading and Public Hearing: Ordinance No. 2015-09 Granting to Florida Power & Light Company, Its Successors and Assigns, a Non-Exclusive Electric Franchise, Imposing Provisions and Conditions Relating Thereto, Providing for Monthly Payments to the V. Action: Councilmember Wilson moved to approve the first reading of Ordinance 2015-09, seconded by Councilmember Errington, called and carried","Councilmember Wilson moved to approve the first reading of Ordinance 2015-09, seconded by Councilmember Errington, called and carried",Ordinance,True,
1415,186,7,Resolution,Resolution No. 2015-55,Calvin,"Resolution No. 2015-55 Approving a Contract with Calvin, Giordano & Associates, Inc., to Provide Community Development Services to the Village of Estero; Authorizing the Village Mayor to Execute the Agreement; Authorizing the Village Manager to Expend Fun",,,"Resolution No. 2015-55 Approving a Contract with Calvin, Giordano & Associates, Inc., to Provide Community Development Services to the Village of Estero; Authorizing the Village Mayor to Execute the Agreement; Authorizing the Village Manager to Expend Fun. Action: Vice Mayor Levitan moved to adopt Resolution No. 2015-56, seconded by Councilmember Errington, called and carried","Vice Mayor Levitan moved to adopt Resolution No. 2015-56, seconded by Councilmember Errington, called and carried",,Detected,,,DR/GR,True,0.5,7,7,"Resolution No. 2015-55 Approving a Contract with Calvin, Giordano & Associates, Inc., to Provide Community Development Services to the Village of Estero; Authorizing the Village Mayor to Execute the Agreement; Authorizing the Village Manager to Expend Fun","Resolution No. 2015-55 Approving a Contract with Calvin, Giordano & Associates, Inc., to Provide Community Development Services to the Village of Estero; Authorizing the Village Mayor to Execute the Agreement; Authorizing the Village Manager to Expend Fun. Action: Vice Mayor Levitan moved to adopt Resolution No. 2015-56, seconded by Councilmember Errington, called and carried","Vice Mayor Levitan moved to adopt Resolution No. 2015-56, seconded by Councilmember Errington, called and carried",Resolution,True,
1416,186,8,Resolution,Resolution No. 2015-57,,Resolution No. 2015-57 Accepting Audit Selection Committee Recommendation; Authorizing the Village Mayor to Execute Contract; and Providing an Effective Date Mayor Batos read the title of Resolution No. 2015-57,,,"Resolution No. 2015-57 Accepting Audit Selection Committee Recommendation; Authorizing the Village Mayor to Execute Contract; and Providing an Effective Date Mayor Batos read the title of Resolution No. 2015-57. Action: Councilmember Brown moved to adopt Resolution No. 2015-57, seconded by Councilmember Ribble, called and carried","Councilmember Brown moved to adopt Resolution No. 2015-57, seconded by Councilmember Ribble, called and carried",,Detected,,,DR/GR,True,0.5,6,8,Resolution No. 2015-57 Accepting Audit Selection Committee Recommendation; Authorizing the Village Mayor to Execute Contract; and Providing an Effective Date Mayor Batos read the title of Resolution No. 2015-57,"Resolution No. 2015-57 Accepting Audit Selection Committee Recommendation; Authorizing the Village Mayor to Execute Contract; and Providing an Effective Date Mayor Batos read the title of Resolution No. 2015-57. Action: Councilmember Brown moved to adopt Resolution No. 2015-57, seconded by Councilmember Ribble, called and carried","Councilmember Brown moved to adopt Resolution No. 2015-57, seconded by Councilmember Ribble, called and carried",Resolution,True,
1417,186,9,Vote,,,Labor Day - The proclamation recognizing Labor Day was read by,,,"Labor Day - The proclamation recognizing Labor Day was read by. Action: Councilmember Wilson moved approval of the proclamation, seconded by Councilmember Errington, called and carried","Councilmember Wilson moved approval of the proclamation, seconded by Councilmember Errington, called and carried",,Detected,,,DR/GR,True,0.5,8,9,Labor Day - The proclamation recognizing Labor Day was read by,"Labor Day - The proclamation recognizing Labor Day was read by. Action: Councilmember Wilson moved approval of the proclamation, seconded by Councilmember Errington, called and carried","Councilmember Wilson moved approval of the proclamation, seconded by Councilmember Errington, called and carried",Vote,True,
1418,186,10,Vote,,,APPROVAL OF AGENDA,,,"APPROVAL OF AGENDA. Action: Councilmember Ribble moved approval of the agenda, seconded by Councilmember Brown, called and carried","Councilmember Ribble moved approval of the agenda, seconded by Councilmember Brown, called and carried",,Detected,,,DR/GR,True,0.5,8,10,APPROVAL OF AGENDA,"APPROVAL OF AGENDA. Action: Councilmember Ribble moved approval of the agenda, seconded by Councilmember Brown, called and carried","Councilmember Ribble moved approval of the agenda, seconded by Councilmember Brown, called and carried",Vote,True,
1419,187,1,Vote,,,"APPROVAL OF AGENDA, ADDITIONS, AND DELETIONS",,,"APPROVAL OF AGENDA, ADDITIONS, AND DELETIONS. Action: Authorized Vice Mayor Ribble, Councilmember Levitan, and Councilmember Wilson to participate via teleconference","Authorized Vice Mayor Ribble, Councilmember Levitan, and Councilmember Wilson to participate via teleconference",,Unanimous,,,,True,0.5,8,1,"APPROVAL OF AGENDA, ADDITIONS, AND DELETIONS","APPROVAL OF AGENDA, ADDITIONS, AND DELETIONS. Action: Authorized Vice Mayor Ribble, Councilmember Levitan, and Councilmember Wilson to participate via teleconference","Authorized Vice Mayor Ribble, Councilmember Levitan, and Councilmember Wilson to participate via teleconference",Vote,True,
1420,187,2,Resolution,Resolution No. 2017-26,Lee,"Resolution No. 2017-26 A Resolution of the Village Council of the Village of Estero, Florida Declaring a State of Local Emergency and Providing for Emergency Governmental Operations Related to Hurricane Irma if Deemed Necessary and In Conjunction with Lee",,,"Resolution No. 2017-26 A Resolution of the Village Council of the Village of Estero, Florida Declaring a State of Local Emergency and Providing for Emergency Governmental Operations Related to Hurricane Irma if Deemed Necessary and In Conjunction with Lee. Action: Adopted Resolution No. 2017-26",Adopted Resolution No. 2017-26,,Unanimous,,,,True,0.5,8,2,"Resolution No. 2017-26 A Resolution of the Village Council of the Village of Estero, Florida Declaring a State of Local Emergency and Providing for Emergency Governmental Operations Related to Hurricane Irma if Deemed Necessary and In Conjunction with Lee","Resolution No. 2017-26 A Resolution of the Village Council of the Village of Estero, Florida Declaring a State of Local Emergency and Providing for Emergency Governmental Operations Related to Hurricane Irma if Deemed Necessary and In Conjunction with Lee. Action: Adopted Resolution No. 2017-26",Adopted Resolution No. 2017-26,Resolution,True,
1421,187,3,Contract Approval,RFB 2017-03,,Disaster Recovery Services RFB 2017-03 Award,,,"Disaster Recovery Services RFB 2017-03 Award. Action: Approved Disaster Recovery Services RFB 2017-03 award to CrowderGulf, LLC, and authorized the Village Manager to decide the standardized contract for that purpose","Approved Disaster Recovery Services RFB 2017-03 award to CrowderGulf, LLC, and authorized the Village Manager to decide the standardized contract for that purpose",,Unanimous,,,,True,0.5,7,3,Disaster Recovery Services RFB 2017-03 Award,"Disaster Recovery Services RFB 2017-03 Award. Action: Approved Disaster Recovery Services RFB 2017-03 award to CrowderGulf, LLC, and authorized the Village Manager to decide the standardized contract for that purpose","Approved Disaster Recovery Services RFB 2017-03 award to CrowderGulf, LLC, and authorized the Village Manager to decide the standardized contract for that purpose",Contract Approval,True,
1422,187,4,Contract Approval,RFB 2017-02,,Approval of Disaster Debris Monitoring RFB 2017-02 Award,,,"Approval of Disaster Debris Monitoring RFB 2017-02 Award. Action: Approved Disaster Debris Monitoring RFB 2017-02 award to Rostan Solutions, LLC and authorized the Village Manager to decide the standardized contract for that purpose","Approved Disaster Debris Monitoring RFB 2017-02 award to Rostan Solutions, LLC and authorized the Village Manager to decide the standardized contract for that purpose",,Unanimous,,,,True,0.5,7,4,Approval of Disaster Debris Monitoring RFB 2017-02 Award,"Approval of Disaster Debris Monitoring RFB 2017-02 Award. Action: Approved Disaster Debris Monitoring RFB 2017-02 award to Rostan Solutions, LLC and authorized the Village Manager to decide the standardized contract for that purpose","Approved Disaster Debris Monitoring RFB 2017-02 award to Rostan Solutions, LLC and authorized the Village Manager to decide the standardized contract for that purpose",Contract Approval,True,
1423,187,5,Contract Approval,,Estero Fire Rescue,Interlocal Agreement with Estero Fire Rescue for Fire Services,,Estero Fire Rescue,Interlocal Agreement with Estero Fire Rescue for Fire Services. Action: Approved the Interlocal Agreement with Estero Fire Rescue for fire services,Approved the Interlocal Agreement with Estero Fire Rescue for fire services,,Unanimous,,,,True,0.6,6,5,Interlocal Agreement with Estero Fire Rescue for Fire Services,Interlocal Agreement with Estero Fire Rescue for Fire Services. Action: Approved the Interlocal Agreement with Estero Fire Rescue for fire services,Approved the Interlocal Agreement with Estero Fire Rescue for fire services,Contract Approval,True,
1424,187,6,Contract Approval,,San Carlos Park Fire Protection & Rescue Services District,Interlocal Agreement with San Carlos Park Fire Protection & Rescue Services District for Fire Services,,,Interlocal Agreement with San Carlos Park Fire Protection & Rescue Services District for Fire Services. Action: Approved the Interlocal Agreement with San Carlos Park Fire Protection & Rescue Services District for fire services,Approved the Interlocal Agreement with San Carlos Park Fire Protection & Rescue Services District for fire services,,Unanimous,,,,True,0.5,7,6,Interlocal Agreement with San Carlos Park Fire Protection & Rescue Services District for Fire Services,Interlocal Agreement with San Carlos Park Fire Protection & Rescue Services District for Fire Services. Action: Approved the Interlocal Agreement with San Carlos Park Fire Protection & Rescue Services District for fire services,Approved the Interlocal Agreement with San Carlos Park Fire Protection & Rescue Services District for fire services,Contract Approval,True,
1425,188,1,Vote,,,"APPROVAL OF AGENDA, ADDITIONS, AND DELETIONS",,,"APPROVAL OF AGENDA, ADDITIONS, AND DELETIONS. Action: Approved the agenda",Approved the agenda,,Unanimous,,,,True,0.5,8,1,"APPROVAL OF AGENDA, ADDITIONS, AND DELETIONS","APPROVAL OF AGENDA, ADDITIONS, AND DELETIONS. Action: Approved the agenda",Approved the agenda,Vote,True,
1426,188,2,Resolution,Resolution No. 2016-26,,"Resolution No. 2016-26 A Resolution of the Village ofEstero, Lee County, Florida, Adopting the Tentative Levying of Ad Valorem Taxes for the Village of Estero, Lee County, Florida, for Fiscal Year 2016-2017; Establishing the Date, Time and Place for a Fin",,,"Resolution No. 2016-26 A Resolution of the Village ofEstero, Lee County, Florida, Adopting the Tentative Levying of Ad Valorem Taxes for the Village of Estero, Lee County, Florida, for Fiscal Year 2016-2017; Establishing the Date, Time and Place for a Fin. Action: Adopted Resolution No. 2016-26",Adopted Resolution No. 2016-26,,Unanimous,,,,True,0.5,7,2,"Resolution No. 2016-26 A Resolution of the Village ofEstero, Lee County, Florida, Adopting the Tentative Levying of Ad Valorem Taxes for the Village of Estero, Lee County, Florida, for Fiscal Year 2016-2017; Establishing the Date, Time and Place for a Fin","Resolution No. 2016-26 A Resolution of the Village ofEstero, Lee County, Florida, Adopting the Tentative Levying of Ad Valorem Taxes for the Village of Estero, Lee County, Florida, for Fiscal Year 2016-2017; Establishing the Date, Time and Place for a Fin. Action: Adopted Resolution No. 2016-26",Adopted Resolution No. 2016-26,Resolution,True,
1427,188,3,Resolution,Resolution No. 2016-27,,"Resolution No. 2016-27 A Resolution of the Village ofEstero, Lee County, Florida, Adopting the Tentative Budget for Fiscal Year 2016-2017; and Providing an Effective Date",,,"Resolution No. 2016-27 A Resolution of the Village ofEstero, Lee County, Florida, Adopting the Tentative Budget for Fiscal Year 2016-2017; and Providing an Effective Date. Action: Adopted Resolution No. 2016-27",Adopted Resolution No. 2016-27,,Unanimous,,Budget / Capital Improvement,,True,0.65,7,3,"Resolution No. 2016-27 A Resolution of the Village ofEstero, Lee County, Florida, Adopting the Tentative Budget for Fiscal Year 2016-2017; and Providing an Effective Date","Resolution No. 2016-27 A Resolution of the Village ofEstero, Lee County, Florida, Adopting the Tentative Budget for Fiscal Year 2016-2017; and Providing an Effective Date. Action: Adopted Resolution No. 2016-27",Adopted Resolution No. 2016-27,Resolution,True,
1428,188,4,Ordinance,Ordinance No. 2016-11,Lee County,"Ordinance No. 2016-11 An Ordinance of the Village Council of the Village of Estero, Florida, Providing for and Approving the Authority of the Mayor to Execute an Interlocal Agreement with Lee County for the Continuation of the University Landscaping Opera",,,"Ordinance No. 2016-11 An Ordinance of the Village Council of the Village of Estero, Florida, Providing for and Approving the Authority of the Mayor to Execute an Interlocal Agreement with Lee County for the Continuation of the University Landscaping Opera. Action: Passed first reading of Ordinance No. 2016-11",Passed first reading of Ordinance No. 2016-11,,Unanimous,,,,True,0.5,5,4,"Ordinance No. 2016-11 An Ordinance of the Village Council of the Village of Estero, Florida, Providing for and Approving the Authority of the Mayor to Execute an Interlocal Agreement with Lee County for the Continuation of the University Landscaping Opera","Ordinance No. 2016-11 An Ordinance of the Village Council of the Village of Estero, Florida, Providing for and Approving the Authority of the Mayor to Execute an Interlocal Agreement with Lee County for the Continuation of the University Landscaping Opera. Action: Passed first reading of Ordinance No. 2016-11",Passed first reading of Ordinance No. 2016-11,Ordinance,True,
